[27/Jun/2023:13:29:48 +0000] 404 - GET http 34.228.140.64 "/.env" [Client 185.254.196.173] [Length 183] [Gzip 3.21] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[27/Jun/2023:13:29:48 +0000] 405 - POST http 34.228.140.64 "/" [Client 185.254.196.173] [Length 556] [Gzip -] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[27/Jun/2023:13:43:14 +0000] 200 - GET http manager.cyceservices.com "/" [Client 162.158.251.150] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:44:54 +0000] 304 - GET http manager.cyceservices.com "/" [Client 162.158.251.151] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:44:55 +0000] 304 - GET http manager.cyceservices.com "/" [Client 172.70.250.169] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:45:00 +0000] 304 - GET http manager.cyceservices.com "/" [Client 172.70.250.169] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:45:25 +0000] 304 - GET http manager.cyceservices.com "/" [Client 172.70.250.169] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:45:26 +0000] 304 - GET http manager.cyceservices.com "/" [Client 172.70.250.169] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:45:26 +0000] 304 - GET http manager.cyceservices.com "/" [Client 172.70.250.169] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:46:01 +0000] 304 - GET http manager.cyceservices.com "/" [Client 162.158.251.151] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:46:02 +0000] 304 - GET http manager.cyceservices.com "/" [Client 162.158.251.142] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:46:02 +0000] 304 - GET http manager.cyceservices.com "/" [Client 162.158.251.142] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:46:38 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 45.79.181.223] [Length 154] [Gzip -] "-" "-"
[27/Jun/2023:13:46:48 +0000] 304 - GET http manager.cyceservices.com "/" [Client 162.158.251.150] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:49:52 +0000] 304 - GET http manager.cyceservices.com "/" [Client 162.158.251.151] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:49:53 +0000] 304 - GET http manager.cyceservices.com "/" [Client 162.158.110.235] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:50:44 +0000] 200 - GET http manager.cyceservices.com "/" [Client 172.71.190.145] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:50:45 +0000] 304 - GET http manager.cyceservices.com "/" [Client 172.71.190.16] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jun/2023:13:50:46 +0000] 304 - GET http manager.cyceservices.com "/" [Client 162.158.86.83] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
